# R_p  errR_p  R_r   err_R_r  I_p     err_I_p  U_p    err_U_p  I_r  U_r
22.4   0.1     22.4  0.1      0.1632  0.05     17.09  0.005    3.4  1.5
25.9   0.1     24.0  0.1      0.1643  0.05     17.22  0.005    3.4  1.5
28.3   0.1     25.5  0.1      0.1648  0.05     17.30  0.005    3.6  2.0
30.0   0.1     26.6  0.1      0.1651  0.05     17.35  0.005    4.0  2.0
31.4   0.1     27.6  0.1      0.1653  0.05     17.37  0.005    4.0  2.0
32.9   0.1     30.0  0.1      0.1654  0.05     17.39  0.005    5.5  3.0
34.9   0.1     32.9  0.1      0.1655  0.05     17.42  0.005    6.0  3.5
37.0   0.1     32.9  0.1      0.1656  0.05     17.43  0.005    6.0  3.5
39.0   0.1     35.0  0.1      0.1657  0.05     17.45  0.005    6.5  4.0
41.2   0.1     37.1  0.1      0.1658  0.05     17.47  0.005    6.5  4.5
43.5   0.1     39.7  0.1      0.1659  0.05     17.49  0.005    6.0  5.0
45.3   0.1     42.3  0.1      0.1659  0.05     17.50  0.005    7.0  5.0
47.7   0.1     47.3  0.1      0.1660  0.05     17.51  0.005    7.0  5.5
50.2   0.1     50.1  0.1      0.1660  0.05     17.53  0.005    7.0  6.0
53.0   0.1     52.6  0.1      0.1661  0.05     17.54  0.005    7.0  6.0
55.7   0.1     55.4  0.1      0.1662  0.05     17.55  0.005    7.0  6.5
58.1   0.1     57.9  0.1      0.1662  0.05     17.56  0.005    7.0  7.0
60.5   0.1     60.4  0.1      0.1663  0.05     17.57  0.005    7.0  7.0
63.0   0.1     63.2  0.1      0.1663  0.05     17.58  0.005    7.0  7.5
65.6   0.1     65.6  0.1      0.1663  0.05     17.59  0.005    7.0  7.5
