#Temp   err_Temp  C_v    err_C_v
82.23   0.24      18.8   5.8
90.50   0.24      27.7   8.6
96.18   0.23      39.4   12.4
100.22  0.24      48.0   15.3
103.55  0.24      44.8   14.2
107.12  0.24      33.6   10.4
111.89  0.24      32.0   10.0
116.92  0.24      33.6   10.4
121.71  0.24      30.5   9.4
127.00  0.24      29.1   9.0
132.54  0.24      37.2   11.6
136.89  0.24      27.9   8.6
142.70  0.24      26.7   8.2
148.77  0.24      23.8   7.3
155.58  0.24      24.6   7.5
162.17  0.24      27.7   8.5
168.05  0.25      27.6   8.5
